State,District,Year,Season,Crop,Rainfall,Temperature,Area,Yield
2,ANANTAPUR,1997,1,3,575.604,29.3941666666667,1400,500
2,ANANTAPUR,1997,1,4,575.604,29.3941666666667,10100,10200
2,ANANTAPUR,1997,1,1,575.604,29.3941666666667,35600,75400
2,ANANTAPUR,1997,2,4,221.447,25.9783333333333,18800,9400
2,ANANTAPUR,1997,2,1,221.447,25.9783333333333,18000,37300
2,ANANTAPUR,1997,2,2,221.447,25.9783333333333,300,200
2,ANANTAPUR,1998,1,3,790.777,29.5125,2600,1900
2,ANANTAPUR,1998,1,4,790.777,29.5125,3700,5800
2,ANANTAPUR,1998,1,1,790.777,29.5125,38300,96800
2,ANANTAPUR,1998,2,4,90.696,26.6205,14800,22100
2,ANANTAPUR,1998,2,1,90.696,26.6205,26600,63900
2,ANANTAPUR,1998,2,2,90.696,26.6205,400,200
2,ANANTAPUR,1999,1,3,571.786,28.7536666666667,1635,889
2,ANANTAPUR,1999,1,4,571.786,28.7536666666667,11131,14582
2,ANANTAPUR,1999,1,1,571.786,28.7536666666667,37991,105082
2,ANANTAPUR,1999,2,3,71.934,26.3013333333333,99,54
2,ANANTAPUR,1999,2,4,71.934,26.3013333333333,21487,30576
2,ANANTAPUR,1999,2,1,71.934,26.3013333333333,20258,45669
2,ANANTAPUR,1999,2,2,71.934,26.3013333333333,439,294
2,ANANTAPUR,2000,1,3,703.741,28.7226666666667,2477,1449
2,ANANTAPUR,2000,1,4,703.741,28.7226666666667,5071,14351
2,ANANTAPUR,2000,1,1,703.741,28.7226666666667,39905,117680
2,ANANTAPUR,2000,2,3,63.61,26.2951666666667,317,185
2,ANANTAPUR,2000,2,4,63.61,26.2951666666667,15242,16980
2,ANANTAPUR,2000,2,1,63.61,26.2951666666667,22099,57236
2,ANANTAPUR,2000,2,2,63.61,26.2951666666667,520,297
2,ANANTAPUR,2001,1,3,491.622,29.1538333333333,1595,526
2,ANANTAPUR,2001,1,4,491.622,29.1538333333333,3900,6720
2,ANANTAPUR,2001,1,1,491.622,29.1538333333333,32878,95609
2,ANANTAPUR,2004,1,4,500.4,28.7231666666667,4300,5693
2,ANANTAPUR,2004,1,1,500.4,28.7231666666667,24335,85051
2,ANANTAPUR,2004,2,3,64.1,26.2636666666667,62,24
2,ANANTAPUR,2004,2,4,64.1,26.2636666666667,11871,14269
2,ANANTAPUR,2004,2,1,64.1,26.2636666666667,9240,21622
2,ANANTAPUR,2004,2,2,64.1,26.2636666666667,393,88
2,ANANTAPUR,2005,1,3,726.1,29.2271666666667,993,1888
2,ANANTAPUR,2005,1,4,726.1,29.2271666666667,3759,3879
2,ANANTAPUR,2005,1,1,726.1,29.2271666666667,25008,69972
2,ANANTAPUR,2005,2,3,93.6,26.2478333333333,66,125
2,ANANTAPUR,2005,2,4,93.6,26.2478333333333,12931,9970
2,ANANTAPUR,2005,2,1,93.6,26.2478333333333,23142,55587
2,ANANTAPUR,2005,2,2,93.6,26.2478333333333,297,175
2,ANANTAPUR,2006,1,3,354.5,29.1621666666667,620,189
2,ANANTAPUR,2006,1,4,354.5,29.1621666666667,18043,7813
2,ANANTAPUR,2006,1,1,354.5,29.1621666666667,22349,67427
2,ANANTAPUR,2006,2,3,140.1,26.222,141,43
2,ANANTAPUR,2006,2,4,140.1,26.222,24944,15440
2,ANANTAPUR,2006,2,1,140.1,26.222,10846,31974
2,ANANTAPUR,2006,2,2,140.1,26.222,190,50
2,ANANTAPUR,2007,1,3,665,29.112,1000,3000
2,ANANTAPUR,2007,1,4,665,29.112,4000,3000
2,ANANTAPUR,2007,1,1,665,29.112,30000,95000
2,ANANTAPUR,2007,2,4,24.9,26.3211666666667,12000,8000
2,ANANTAPUR,2007,2,1,24.9,26.3211666666667,14000,37000
2,ANANTAPUR,2008,1,3,680.9,29.0945,743,1011
2,ANANTAPUR,2008,1,4,680.9,29.0945,1782,2204
2,ANANTAPUR,2008,1,1,680.9,29.0945,30306,94615
2,ANANTAPUR,2008,2,3,186.2,26.1485,26,35
2,ANANTAPUR,2008,2,4,186.2,26.1485,12501,6951
2,ANANTAPUR,2008,2,1,186.2,26.1485,18416,49815
2,ANANTAPUR,2008,2,2,186.2,26.1485,164,217
2,ANANTAPUR,2009,1,3,506.5,29.6225,1722,3167
2,ANANTAPUR,2009,1,4,506.5,29.6225,41409,25881
2,ANANTAPUR,2009,1,1,506.5,29.6225,32226,101512
2,ANANTAPUR,2009,2,3,78.8,26.8253333333333,45,83
2,ANANTAPUR,2009,2,4,78.8,26.8253333333333,17721,14283
2,ANANTAPUR,2009,2,1,78.8,26.8253333333333,19428,46899
2,ANANTAPUR,2009,2,2,78.8,26.8253333333333,179,97
2,ANANTAPUR,2010,1,3,614.3,29.0765,2010,1465
2,ANANTAPUR,2010,1,4,614.3,29.0765,2606,2069
2,ANANTAPUR,2010,1,1,614.3,29.0765,34973,102007
2,ANANTAPUR,2010,2,3,239.5,26.7608333333333,5,4
2,ANANTAPUR,2010,2,4,239.5,26.7608333333333,13274,8296
2,ANANTAPUR,2010,2,1,239.5,26.7608333333333,24828,69394
2,ANANTAPUR,2010,2,2,239.5,26.7608333333333,131,171
2,CHITTOOR,1997,1,3,614.038,29.3941666666667,1700,1900
2,CHITTOOR,1997,1,4,614.038,29.3941666666667,2400,1500
2,CHITTOOR,1997,1,1,614.038,29.3941666666667,42300,84400
2,CHITTOOR,1997,2,1,418.78,25.9783333333333,57400,137400
2,CHITTOOR,1998,1,3,765.66,29.5125,1700,3400
2,CHITTOOR,1998,1,4,765.66,29.5125,2500,1400
2,CHITTOOR,1998,1,1,765.66,29.5125,42000,105400
2,CHITTOOR,1998,2,1,216.165,26.6205,62400,159200
2,CHITTOOR,1999,1,3,660.618,28.7536666666667,2531,2817
2,CHITTOOR,1999,1,4,660.618,28.7536666666667,1360,797
2,CHITTOOR,1999,1,1,660.618,28.7536666666667,37542,75477
2,CHITTOOR,1999,2,3,131.465,26.3013333333333,68,76
2,CHITTOOR,1999,2,4,131.465,26.3013333333333,39,40
2,CHITTOOR,1999,2,1,131.465,26.3013333333333,37489,76800
2,CHITTOOR,2000,1,3,804.511,28.7226666666667,3771,4936
2,CHITTOOR,2000,1,4,804.511,28.7226666666667,3556,2703
2,CHITTOOR,2000,1,1,804.511,28.7226666666667,33776,89236
2,CHITTOOR,2000,2,3,121.957,26.2951666666667,393,514
2,CHITTOOR,2000,2,4,121.957,26.2951666666667,54,65
2,CHITTOOR,2000,2,1,121.957,26.2951666666667,41442,97181
2,CHITTOOR,2000,2,2,121.957,26.2951666666667,5,3
2,CHITTOOR,2001,1,3,648.831,29.1538333333333,2934,3556
2,CHITTOOR,2001,1,4,648.831,29.1538333333333,2400,2174
2,CHITTOOR,2001,1,1,648.831,29.1538333333333,24377,55311
2,CHITTOOR,2001,2,3,163.039,26.4146666666667,258,313
2,CHITTOOR,2001,2,4,163.039,26.4146666666667,46,67
2,CHITTOOR,2001,2,1,163.039,26.4146666666667,62049,170573
2,CHITTOOR,2002,1,3,627.353,29.4455,2366,1171
2,EAST GODAVARI,1998,1,3,998.231,29.5125,4300,2400
2,EAST GODAVARI,1998,1,4,998.231,29.5125,1200,300
2,EAST GODAVARI,1998,1,1,998.231,29.5125,256300,386600
2,EAST GODAVARI,1998,2,4,170.973,26.6205,100,100
2,EAST GODAVARI,1998,2,1,170.973,26.6205,157600,656600
2,EAST GODAVARI,1999,1,3,767.549,28.7536666666667,3248,2339
2,EAST GODAVARI,1999,1,4,767.549,28.7536666666667,701,179
2,EAST GODAVARI,1999,1,1,767.549,28.7536666666667,244655,628606
2,EAST GODAVARI,1999,2,4,7.189,26.3013333333333,50,20
2,EAST GODAVARI,1999,2,1,7.189,26.3013333333333,161551,645162
2,EAST GODAVARI,2000,1,3,1200.8,28.7226666666667,3034,2005
2,EAST GODAVARI,2000,1,4,1200.8,28.7226666666667,1144,424
2,EAST GODAVARI,2000,1,1,1200.8,28.7226666666667,253966,683423
2,EAST GODAVARI,2000,2,3,64.062,26.2951666666667,2,1
2,EAST GODAVARI,2000,2,4,64.062,26.2951666666667,14,12
2,EAST GODAVARI,2000,2,1,64.062,26.2951666666667,162861,683202
2,EAST GODAVARI,2001,1,3,883.782,29.1538333333333,2219,2048
2,EAST GODAVARI,2001,1,4,883.782,29.1538333333333,822,470
2,EAST GODAVARI,2001,1,1,883.782,29.1538333333333,220811,579850
2,EAST GODAVARI,2001,2,4,129.132,26.4146666666667,22,16
2,EAST GODAVARI,2001,2,1,129.132,26.4146666666667,165779,750150
2,EAST GODAVARI,2002,1,3,690.069,29.4455,1196,1051
2,EAST GODAVARI,2002,1,4,690.069,29.4455,503,167
2,EAST GODAVARI,2002,1,1,690.069,29.4455,194809,551115
2,EAST GODAVARI,2002,2,4,98.411,26.4505,15,12
2,EAST GODAVARI,2002,2,1,98.411,26.4505,106427,491906
2,GUNTUR,1997,1,3,621.797,29.3941666666667,100,100
2,GUNTUR,1997,1,4,621.797,29.3941666666667,200,100
2,GUNTUR,1997,1,1,621.797,29.3941666666667,295000,845300
2,GUNTUR,1997,2,4,304.721,25.9783333333333,2400,3500
2,GUNTUR,1997,2,1,304.721,25.9783333333333,14500,51800
2,GUNTUR,1998,1,3,742.954,29.5125,100,100
2,GUNTUR,1998,1,4,742.954,29.5125,600,200
2,GUNTUR,1998,1,1,742.954,29.5125,298400,921400
2,GUNTUR,1998,2,3,85.569,26.6205,200,200
2,GUNTUR,1998,2,4,85.569,26.6205,800,1000
2,GUNTUR,1998,2,1,85.569,26.6205,29100,99900
2,GUNTUR,1999,1,3,525.392,28.7536666666667,142,159
2,GUNTUR,1999,1,4,525.392,28.7536666666667,262,67
2,GUNTUR,1999,1,1,525.392,28.7536666666667,302886,969414
2,GUNTUR,1999,2,4,21.652,26.3013333333333,940,374
2,GUNTUR,1999,2,1,21.652,26.3013333333333,14822,53167
2,GUNTUR,2000,1,3,807.215,28.7226666666667,406,550
2,GUNTUR,2000,1,4,807.215,28.7226666666667,181,67
2,GUNTUR,2000,1,1,807.215,28.7226666666667,292899,987363
2,GUNTUR,2000,2,3,63.304,26.2951666666667,31,42
2,GUNTUR,2000,2,4,63.304,26.2951666666667,718,626
2,GUNTUR,2000,2,1,63.304,26.2951666666667,12692,49600
2,GUNTUR,2001,1,3,698.572,29.1538333333333,77,76
2,GUNTUR,2001,1,4,698.572,29.1538333333333,184,105
2,GUNTUR,2001,1,1,698.572,29.1538333333333,272468,935110
2,GUNTUR,2001,2,3,94.854,26.4146666666667,43,43
2,GUNTUR,2001,2,4,94.854,26.4146666666667,398,294
2,GUNTUR,2001,2,1,94.854,26.4146666666667,44917,181060
2,GUNTUR,2002,1,3,565.791,29.4455,419,356
2,GUNTUR,2002,1,4,565.791,29.4455,76,25
2,GUNTUR,2002,1,1,565.791,29.4455,202953,646811
2,GUNTUR,2002,2,3,93.163,26.4505,6,5
2,GUNTUR,2002,2,4,93.163,26.4505,8638,6928
2,GUNTUR,2002,2,1,93.163,26.4505,2716,7385
2,GUNTUR,2004,1,3,720.5,28.7231666666667,5824,1584
2,GUNTUR,2004,1,4,720.5,28.7231666666667,1797,961
2,GUNTUR,2004,1,1,720.5,28.7231666666667,240404,833961
2,GUNTUR,2004,2,3,39,26.2636666666667,10,3
2,GUNTUR,2004,2,4,39,26.2636666666667,1515,8043
2,GUNTUR,2004,2,1,39,26.2636666666667,21247,70922
2,GUNTUR,2005,1,3,913,29.2271666666667,796,464
2,GUNTUR,2005,1,4,913,29.2271666666667,202,112
2,GUNTUR,2005,1,1,913,29.2271666666667,288879,892636
2,GUNTUR,2005,2,4,39.7,26.2478333333333,2449,12806
2,GUNTUR,2005,2,1,39.7,26.2478333333333,31434,111559
2,GUNTUR,2006,1,1,668.4,29.1621666666667,288638,783941
2,GUNTUR,2006,2,3,184.2,26.222,40,38
2,GUNTUR,2006,2,4,184.2,26.222,723,4168
2,GUNTUR,2006,2,1,184.2,26.222,28933,100947
2,GUNTUR,2007,1,1,939.6,29.112,283000,976000
2,GUNTUR,2007,2,4,69,26.3211666666667,3000,15000
2,GUNTUR,2007,2,1,69,26.3211666666667,24000,85000
2,GUNTUR,2008,1,1,691.8,29.0945,281491,959321
2,GUNTUR,2008,2,4,272.7,26.1485,5108,35633
2,GUNTUR,2008,2,1,272.7,26.1485,51358,187662
2,GUNTUR,2009,1,3,549.6,29.6225,315,557
2,GUNTUR,2009,1,4,549.6,29.6225,180,212
2,GUNTUR,2009,1,1,549.6,29.6225,190526,683226
2,GUNTUR,2009,2,4,94,26.8253333333333,3449,20422
2,GUNTUR,2009,2,1,94,26.8253333333333,112342,383423
2,GUNTUR,2010,1,3,1243.6,29.0765,1065,1984
2,GUNTUR,2010,1,4,1243.6,29.0765,61,88
2,GUNTUR,2010,1,1,1243.6,29.0765,271072,649760
2,GUNTUR,2010,2,3,241.5,26.7608333333333,118,220
2,GUNTUR,2010,2,4,241.5,26.7608333333333,3940,23995
2,GUNTUR,2010,2,1,241.5,26.7608333333333,58393,201806
2,GUNTUR,2010,2,2,241.5,26.7608333333333,43,56
2,KRISHNA,1997,1,4,824.612,29.3941666666667,500,300
2,KRISHNA,1997,1,1,824.612,29.3941666666667,257900,699400
2,KRISHNA,1997,2,4,271.042,25.9783333333333,2200,2000
2,KRISHNA,1997,2,1,271.042,25.9783333333333,116300,393500
2,KRISHNA,1998,1,1,831.254,29.5125,280800,759900
2,KRISHNA,1998,2,4,85.576,26.6205,100,100
2,KRISHNA,1998,2,1,85.576,26.6205,134500,491200
2,KRISHNA,1999,1,1,592.9,28.7536666666667,278415,834490
2,KRISHNA,1999,2,4,11.097,26.3013333333333,93,24
2,KRISHNA,1999,2,1,11.097,26.3013333333333,127888,457596
2,KRISHNA,2000,1,3,1038.762,28.7226666666667,1,1
2,KRISHNA,2000,1,4,1038.762,28.7226666666667,2,1
2,KRISHNA,2000,1,1,1038.762,28.7226666666667,281343,868787
2,KRISHNA,2000,2,4,60.472,26.2951666666667,65,27
2,KRISHNA,2000,2,1,60.472,26.2951666666667,112917,408308
2,KRISHNA,2001,1,4,796.677,29.1538333333333,123,70
2,KRISHNA,2001,1,1,796.677,29.1538333333333,245114,714507
2,KRISHNA,2001,2,4,95.623,26.4146666666667,730,539
2,KRISHNA,2001,2,1,95.623,26.4146666666667,98472,358635
2,KRISHNA,2002,1,4,616.54,29.4455,81,27
2,KRISHNA,2002,1,1,616.54,29.4455,243910,761243
2,KRISHNA,2002,2,4,95.175,26.4505,866,695
2,KRISHNA,2002,2,1,95.175,26.4505,2185,5688
2,KRISHNA,2004,1,4,851.8,28.7231666666667,455,243
2,KRISHNA,2004,1,1,851.8,28.7231666666667,245306,804849
2,KRISHNA,2004,2,4,35.1,26.2636666666667,506,950
2,KRISHNA,2004,2,1,35.1,26.2636666666667,10017,31584
2,KRISHNA,2005,1,4,1123,29.2271666666667,5,3
2,KRISHNA,2005,1,1,1123,29.2271666666667,254919,697203
2,KRISHNA,2005,2,3,36.5,26.2478333333333,2,2
2,KRISHNA,2005,2,4,36.5,26.2478333333333,170,496
2,KRISHNA,2005,2,1,36.5,26.2478333333333,104332,409399
2,KRISHNA,2006,1,4,1039.8,29.1621666666667,227,169
2,KRISHNA,2006,1,1,1039.8,29.1621666666667,251433,521221
2,KRISHNA,2006,2,4,227.5,26.222,643,1387
2,KRISHNA,2006,2,1,227.5,26.222,94862,355638
2,KRISHNA,2007,1,1,949.1,29.112,261000,944000
2,KRISHNA,2007,2,1,30.8,26.3211666666667,94000,355000
2,KRISHNA,2008,1,4,979,29.0945,2,5
2,KRISHNA,2008,1,1,979,29.0945,273878,959395
2,KRISHNA,2008,2,4,324.9,26.1485,274,1293
2,KRISHNA,2008,2,1,324.9,26.1485,120655,467900
2,KRISHNA,2009,1,3,634.5,29.6225,1,2
2,KRISHNA,2009,1,4,634.5,29.6225,585,690
2,KRISHNA,2009,1,1,634.5,29.6225,228196,784310
2,KRISHNA,2009,2,4,101.6,26.8253333333333,2584,9031
2,KRISHNA,2009,2,1,101.6,26.8253333333333,108442,424984
2,KRISHNA,2010,1,1,1523.2,29.0765,260350,722978
2,KRISHNA,2010,2,4,282,26.7608333333333,73,285
2,KRISHNA,2010,2,1,282,26.7608333333333,94991,367710
2,KURNOOL,1997,1,3,440.847,29.3941666666667,11600,9300
2,KURNOOL,1997,1,4,440.847,29.3941666666667,9600,10400
2,KURNOOL,1997,1,1,440.847,29.3941666666667,66300,176900
2,KURNOOL,1997,2,4,183.279,25.9783333333333,113800,107200
2,KURNOOL,1997,2,1,183.279,25.9783333333333,9000,23900
2,KURNOOL,1997,2,2,183.279,25.9783333333333,600,300
2,KURNOOL,1998,1,3,647.549,29.5125,17700,16200
2,KURNOOL,1998,1,4,647.549,29.5125,9400,9100
2,KURNOOL,1998,1,1,647.549,29.5125,75100,221700
2,KURNOOL,1998,2,3,49.212,26.6205,300,300
2,KURNOOL,1998,2,4,49.212,26.6205,90200,96300
2,KURNOOL,1998,2,1,49.212,26.6205,20900,44500
2,KURNOOL,1998,2,2,49.212,26.6205,700,400
2,KURNOOL,1999,1,3,451.305,28.7536666666667,15261,9187
2,KURNOOL,1999,1,4,451.305,28.7536666666667,12603,7952
2,KURNOOL,1999,1,1,451.305,28.7536666666667,81640,225431
2,KURNOOL,1999,2,3,34.053,26.3013333333333,559,337
2,KURNOOL,1999,2,4,34.053,26.3013333333333,105751,99194
2,KURNOOL,1999,2,1,34.053,26.3013333333333,12430,35695
2,KURNOOL,1999,2,2,34.053,26.3013333333333,789,529
2,KURNOOL,2000,1,3,589.052,28.7226666666667,18718,15199
2,KURNOOL,2000,1,4,589.052,28.7226666666667,7662,11953
2,KURNOOL,2000,1,1,589.052,28.7226666666667,93188,307427
2,KURNOOL,2000,2,3,36.775,26.2951666666667,504,409
2,KURNOOL,2000,2,4,36.775,26.2951666666667,86644,105792
2,KURNOOL,2000,2,1,36.775,26.2951666666667,13909,38083
2,KURNOOL,2000,2,2,36.775,26.2951666666667,850,484
2,KURNOOL,2001,1,3,453.499,29.1538333333333,13932,11062
2,KURNOOL,2001,1,4,453.499,29.1538333333333,6577,6939
2,KURNOOL,2001,1,1,453.499,29.1538333333333,43617,121779
2,KURNOOL,2001,2,3,54.867,26.4146666666667,184,146
2,KURNOOL,2001,2,4,54.867,26.4146666666667,86436,131901
2,KURNOOL,2001,2,1,54.867,26.4146666666667,38162,98534
2,KURNOOL,2001,2,2,54.867,26.4146666666667,1264,876
