State,District,Year,Season,Crop,Rainfall,Temperature,Area,Yield
2,ANANTAPUR,2001,2,3,87.716,26.4146666666667,27,9
2,ANANTAPUR,2001,2,4,87.716,26.4146666666667,15170,17446
2,ANANTAPUR,2001,2,1,87.716,26.4146666666667,38119,108906
2,ANANTAPUR,2001,2,2,87.716,26.4146666666667,307,213
2,ANANTAPUR,2002,1,3,512.051,29.4455,1925,581
2,ANANTAPUR,2002,1,4,512.051,29.4455,2906,4545
2,ANANTAPUR,2002,1,1,512.051,29.4455,29066,66329
2,ANANTAPUR,2002,2,3,28.019,26.4505,129,39
2,ANANTAPUR,2002,2,4,28.019,26.4505,12676,11497
2,ANANTAPUR,2002,2,1,28.019,26.4505,10960,20462
2,ANANTAPUR,2002,2,2,28.019,26.4505,362,333
2,ANANTAPUR,2004,1,3,500.4,28.7231666666667,1021,403
2,CHITTOOR,2002,1,4,627.353,29.4455,1647,865
2,CHITTOOR,2002,1,1,627.353,29.4455,20137,50020
2,CHITTOOR,2002,2,3,110.24,26.4505,42,21
2,CHITTOOR,2002,2,4,110.24,26.4505,130,155
2,CHITTOOR,2002,2,1,110.24,26.4505,30034,76827
2,CHITTOOR,2002,2,2,110.24,26.4505,5,7
2,EAST GODAVARI,1997,1,3,943.259,29.3941666666667,2500,1400
2,EAST GODAVARI,1997,1,4,943.259,29.3941666666667,1100,600
2,EAST GODAVARI,1997,1,1,943.259,29.3941666666667,214100,429300
2,EAST GODAVARI,1997,2,4,256.722,25.9783333333333,200,200
2,EAST GODAVARI,1997,2,1,256.722,25.9783333333333,154400,491500
3,WEST SIANG,1999,2,2,177.627,11.2591666666667,90,125
3,WEST SIANG,2000,1,1,1400.837,18.321,19291,21816
3,WEST SIANG,2000,2,2,270.789,9.4925,90,125
3,WEST SIANG,2001,1,1,1401.207,18.5233333333333,19291,21872
3,WEST SIANG,2001,2,2,187.191,10.1648333333333,90,130
3,WEST SIANG,2002,1,1,1425.547,18.2083333333333,19953,22135
3,WEST SIANG,2002,2,2,271.836,10.275,86,126
3,WEST SIANG,2004,1,1,530,18.1095,23857,18436
3,WEST SIANG,2004,2,2,240.8,10.0266666666667,75,84
4,BARPETA,2009,1,1,2250.4,26.48,50063,40476
4,BARPETA,2009,2,2,221.5,19.669,7400,6216
4,BARPETA,2010,1,1,2753.4,26.0861666666667,39756,33805
4,BARPETA,2010,2,2,543.2,19.3221666666667,6654,10038
4,BONGAIGAON,2004,1,1,2731.5,25.4776666666667,34147,23886
4,BONGAIGAON,2004,2,2,428.3,18.859,6086,8733
4,BONGAIGAON,2005,1,1,2069.1,25.9281666666667,29128,27125
4,CACHAR,2008,2,2,252.4,18.8831666666667,117,128
4,CACHAR,2009,1,1,2091.9,26.48,8276,16457
4,CACHAR,2009,2,2,412.5,19.669,154,168
4,CACHAR,2010,1,1,3204,26.0861666666667,8359,16087
4,CACHAR,2010,2,2,889.9,19.3221666666667,80,100
4,DARRANG,1997,1,1,1943.953,25.3946666666667,68782,40252
4,DARRANG,1997,2,2,323.076,18.0893333333333,3665,4021
4,DARRANG,1998,1,1,2301.002,26.2861666666667,68800,59143
4,DARRANG,1998,2,2,363.695,19.0035,3833,3947
4,DIBRUGARH,2006,2,2,584.3,19.4558333333333,86,65
4,DIBRUGARH,2007,1,1,1949.1,26.1513333333333,267,187
4,DIBRUGARH,2007,2,2,428.5,18.871,128,162
